"id","female","age","cohort","race","latinx","ethnic","educate","childs","marital","sei","occprest","attend","relig","fund","owngun","legalmarij","cappunish","partyaff","polviews","spanking","lifesatis","volunteer","confidence","civliberty","watchtv","pincome","fincome"
525,"female",35,1983,"White","no","White",13,4,1,39.7,31,0,1,"moderate","yes","yes","yes",6,5,NA,80.74,1,0,12,NA,260,130
527,"female",36,1982,"White","no","White",12,3,1,14,27,8,1,"moderate","yes",NA,"no",4,4,1,NA,1,1,11,1,70,110
528,"female",76,1942,"White","no","White",13,4,2,17,34,5,1,"fundamentalist","no","yes","yes",6,4,1,72.8,1,0,0,2,10,80
529,"female",61,1957,"White","no","White",12,2,1,27,38,5,1,"fundamentalist","yes",NA,"yes",6,5,2,NA,1,2,12,5,0,120
530,"female",56,1962,"White","no","White",12,1,3,57.5,48,2,1,"moderate","no","yes","yes",3,4,NA,69.98,2,0,12,NA,190,120
531,"female",26,1992,"AfricanAmerican","no","AfricanAmerican",12,0,4,39.7,31,7,1,"fundamentalist","no",NA,"yes",1,5,1,NA,1,4,4,4,20,30
532,"male",59,1959,"AfricanAmerican","no","AfricanAmerican",13,6,3,32,35,3,1,"liberal","no","no","yes",1,3,2,NA,1,3,0,5,0,90
533,"male",55,1963,"AfricanAmerican","no","AfricanAmerican",12,1,4,60.5,61,4,1,"moderate","no","no","yes",3,3,1,91.68,3,1,0,4,180,120
534,"male",57,1961,"White","no","White",18,2,1,73.9,53,4,1,"liberal","yes","yes","yes",7,6,NA,84.92,3,6,11,NA,220,120
535,"female",59,1959,"White","no","White",14,3,1,41.4,60,4,2,"moderate","yes",NA,"yes",7,3,3,NA,1,4,10,1,0,110
536,"female",33,1985,"White","no","White",14,0,1,84.5,74,8,1,"moderate","yes","no","no",4,7,NA,90.46,4,2,7,NA,80,110
537,"female",75,1943,"other","yes","Latinx",2,6,2,20.7,24,0,2,"moderate","no","no","yes",4,4,1,89.24,1,3,0,1,0,10
538,"male",61,1957,"White","no","White",18,2,1,64.2,53,7,1,"fundamentalist","yes",NA,"yes",6,6,1,NA,1,2,6,2,210,130
539,"female",39,1979,"White","no","White",13,3,1,62.1,49,7,1,"moderate","yes","no","yes",5,4,NA,82.72,3,4,7,NA,160,120
540,"female",38,1980,"White","yes","Latinx",12,2,1,25.7,38,3,1,"none","yes",NA,"yes",5,4,1,NA,1,1,8,0,160,120
541,"female",49,1969,"White","no","White",17,2,3,89.3,75,4,1,"moderate","no","yes","no",3,2,NA,37.76,2,10,12,NA,220,120
542,"male",71,1947,"White","no","White",16,2,1,66.4,66,7,1,"fundamentalist","no","yes","no",5,4,2,81.38,5,4,0,0,0,110
543,"male",47,1971,"AfricanAmerican","no","AfricanAmerican",16,0,4,66.4,66,4,1,"fundamentalist","yes",NA,"yes",1,4,3,NA,1,0,9,1,220,120
544,"male",52,1966,"other","yes","Latinx",13,4,1,35.3,42,5,6,"liberal","no","yes","yes",3,4,NA,80.89,2,4,3,NA,210,120
545,"female",35,1983,"White","no","White",17,2,3,84.2,64,0,1,"fundamentalist","no","no","yes",4,2,2,NA,1,3,0,5,200,120
546,"female",54,1964,"White","no","White",12,2,1,55.04,49,0,1,"fundamentalist","yes","yes","yes",7,3,NA,90.45,1,1,5,NA,0,120
547,"female",39,1979,"White","no","White",12,3,1,57.5,48,0,5,"none","no",NA,"yes",6,4,1,NA,1,3,8,1,0,110
548,"male",70,1948,"AfricanAmerican","no","AfricanAmerican",11,2,4,26.1,36,7,6,"liberal","yes",NA,"no",2,5,3,NA,1,4,6,2,0,100
549,"female",78,1940,"AfricanAmerican","no","AfricanAmerican",12,4,2,20.1,48,5,1,"moderate","no",NA,"no",1,5,2,NA,1,4,2,6,0,10
550,"female",74,1944,"White","no","White",20,2,3,75.5,59,4,1,"liberal","no",NA,"yes",3,3,3,NA,1,1,12,2,0,120
551,"male",65,1953,"White","no","White",16,2,1,73.6,67,8,2,"moderate","yes",NA,"no",4,4,3,NA,1,2,12,2,130,120
552,"male",61,1957,"White","no","White",13,1,3,61.2,43,1,3,"liberal","no","yes","yes",2,2,2,NA,1,4,0,2,260,120
553,"female",53,1965,"White","no","White",16,2,1,73.9,53,7,2,"moderate","no",NA,"yes",6,4,2,NA,1,2,11,3,220,120
554,"female",21,1997,"other","no","Other",12,0,4,39.7,31,7,1,"moderate","no","yes","yes",2,4,NA,89.27,1,6,6,NA,60,120
555,"female",41,1977,"White","yes","Latinx",17,2,1,84.2,64,7,2,"moderate","no","no","no",4,4,3,NA,1,6,0,1,0,120
556,"female",62,1956,"White","no","White",14,4,1,21.6,28,2,6,"liberal","no",NA,"yes",7,6,2,NA,1,0,4,4,90,120
557,"male",71,1947,"White","no","White",16,3,1,71.8,64,7,2,"moderate","no","no","yes",6,6,2,89.05,1,1,0,6,0,110
558,"male",89,1929,"White","no","White",16,2,2,35.8,32,7,1,"liberal","no","yes","no",2,4,NA,67.92,3,2,9,NA,0,110
559,"male",66,1952,"White","no","White",17,3,1,76.3,60,2,2,"moderate","no","yes","yes",2,3,3,68.98,5,2,0,2,190,120
560,"male",28,1990,"White","no","White",16,0,4,72.7,58,0,6,"liberal","no","yes","no",1,2,NA,70.82,1,4,10,NA,190,120
561,"female",85,1933,"White","no","White",17,2,2,80.9,61,7,1,"liberal","no","no","yes",1,4,3,NA,1,4,0,5,0,120
562,"male",70,1948,"White","no","White",12,2,1,40.4,31,0,2,"moderate","no","no","yes",1,4,2,NA,1,10,0,6,30,120
563,"female",29,1989,"other","no","Other",16,0,4,87.9,60,7,6,"liberal","no",NA,"no",4,4,2,NA,1,1,1,1,200,120
564,"male",39,1979,"other","no","Other",16,2,1,69.3,53,3,6,"none","no",NA,"no",4,4,3,NA,1,2,9,1,210,120
565,"male",28,1990,"White","no","White",16,0,4,43,38,0,2,"moderate","no","yes","yes",2,3,NA,71.08,2,4,12,NA,130,120
566,"female",74,1944,"White","no","White",16,2,2,61.4,55,6,1,"liberal","no","no","no",1,2,NA,76.83,4,4,12,NA,0,120
567,"female",53,1965,"White","no","White",16,2,1,56.8,44,3,2,"moderate","no","no","yes",2,5,2,NA,1,4,0,2,170,120
568,"male",66,1952,"White","no","White",20,2,3,91.1,69,0,6,"liberal","no",NA,"yes",1,1,4,NA,1,1,12,0,0,120
569,"male",67,1951,"White","no","White",16,3,1,62,45,3,1,"liberal","no","yes","yes",3,4,3,80.43,3,2,0,2,250,130
571,"female",28,1990,"White","no","White",20,0,4,85.8,73,0,6,"liberal","no","yes","no",1,2,4,NA,1,1,0,0,0,120
572,"female",23,1995,"White","no","White",16,0,4,67.7,39,1,1,"moderate","no","yes","no",6,4,NA,70.63,2,2,11,NA,160,120
573,"male",37,1981,"White","no","White",20,0,1,59.8,45,0,6,"liberal","no","yes","no",1,1,3,72.92,2,4,0,1,210,120
574,"male",27,1991,"AfricanAmerican","no","AfricanAmerican",12,0,4,32,35,0,6,"liberal","no","yes","yes",2,4,NA,73.04,1,7,10,NA,200,120
575,"female",32,1986,"AfricanAmerican","no","AfricanAmerican",14,3,4,25.7,38,2,6,"liberal","no","yes","no",2,2,NA,55.83,3,0,12,NA,20,90
576,"female",40,1978,"AfricanAmerican","no","AfricanAmerican",12,6,3,38.8,47,0,1,"fundamentalist","no",NA,"yes",2,4,1,NA,1,0,7,5,30,100
577,"female",22,1996,"White","no","White",16,0,4,43.3,43,2,2,"moderate","no","yes","no",2,3,NA,88.84,3,4,12,NA,0,120
578,"male",38,1980,"AfricanAmerican","no","AfricanAmerican",14,1,3,21,24,6,1,"fundamentalist","no","yes","no",1,3,NA,59.42,1,3,5,NA,120,100
579,"female",45,1973,"AfricanAmerican","no","AfricanAmerican",15,3,4,38.8,47,3,2,"moderate","no","no","no",1,2,2,NA,1,3,0,4,160,120
580,"male",63,1955,"White","no","White",12,1,3,76.3,60,3,6,"liberal","yes",NA,"yes",5,5,2,NA,1,1,12,6,0,100
581,"female",30,1988,"White","no","White",20,0,4,71.4,62,0,6,"liberal","no","yes","yes",2,2,3,51.26,1,1,0,4,190,120
582,"male",25,1993,"White","no","White",12,0,4,38.8,47,0,6,"liberal","no",NA,"yes",4,4,2,NA,1,1,12,1,0,90
583,"female",44,1974,"other","no","Other",12,1,3,62,45,4,5,"none","no","no","no",3,4,NA,80.43,1,4,11,NA,180,120
584,"male",56,1962,"White","no","White",12,1,4,13.6,33,0,1,"liberal","no","yes","no",5,6,2,NA,1,4,0,6,140,90
585,"female",45,1973,"White","no","White",12,2,1,20.7,24,2,6,"liberal","no","yes","no",4,4,NA,79.98,3,0,12,NA,70,120
586,"female",27,1991,"other","yes","Latinx",7,3,4,24.2,48,0,6,"liberal","no","yes","no",4,2,2,70.25,2,4,0,1,90,80
587,"male",53,1965,"other","yes","Latinx",17,2,1,28.3,40,2,2,"moderate","no","yes","yes",2,4,1,80.59,2,0,0,3,180,120
588,"female",66,1952,"AfricanAmerican","no","AfricanAmerican",15,1,2,60.2,46,7,1,"fundamentalist","no","yes","no",1,5,2,NA,1,7,0,5,150,120
589,"female",48,1970,"AfricanAmerican","no","AfricanAmerican",18,3,3,62.1,45,8,1,"fundamentalist","no",NA,"yes",2,3,1,NA,1,2,8,2,190,120
590,"female",50,1968,"AfricanAmerican","no","AfricanAmerican",14,2,1,24.2,48,7,1,"liberal","no","no","yes",1,4,2,88.27,3,3,0,3,170,120
591,"female",18,2000,"other","yes","Latinx",11,0,4,38.9,41,2,2,"moderate","no","yes","yes",4,4,2,NA,1,0,0,3,0,100
592,"male",51,1967,"AfricanAmerican","no","AfricanAmerican",16,1,4,59.1,53,3,1,"fundamentalist","no","yes","no",3,1,NA,91.46,3,3,1,NA,140,110
593,"female",63,1955,"AfricanAmerican","no","AfricanAmerican",13,4,3,46.6,69,0,1,"fundamentalist","no","yes","no",1,3,3,89.98,3,1,0,4,190,120
594,"female",57,1961,"AfricanAmerican","no","AfricanAmerican",12,3,1,20.7,24,8,6,"liberal","no","no","no",2,4,NA,92.5,3,3,1,NA,40,120
595,"male",68,1950,"AfricanAmerican","no","AfricanAmerican",16,3,2,63.2,66,2,1,"none","no","yes","no",1,5,1,NA,1,2,0,4,0,110
596,"male",64,1954,"White","no","White",14,1,1,53.2,49,0,1,"fundamentalist","no","no","yes",7,6,2,91.27,1,2,0,2,0,120
597,"male",26,1992,"other","yes","Latinx",12,1,4,19.7,27,2,2,"moderate","yes",NA,"yes",5,3,2,NA,1,1,7,1,150,120
598,"female",58,1960,"White","no","White",16,0,1,80.7,65,7,1,"moderate","yes","no","yes",4,6,NA,88.76,3,2,11,NA,250,130
599,"female",53,1965,"AfricanAmerican","no","AfricanAmerican",19,1,1,71.7,58,8,6,"liberal","no","yes","yes",1,3,4,NA,1,1,0,2,240,130
600,"male",28,1990,"other","yes","Latinx",12,0,4,28.4,38,4,6,"liberal","no","no","no",4,5,2,79.82,1,5,0,1,50,100
601,"female",30,1988,"White","no","White",11,1,1,19.6,31,0,6,"liberal","no",NA,"yes",2,1,1,NA,1,0,10,4,0,120
602,"male",53,1965,"White","no","White",14,1,1,65.3,60,3,1,"fundamentalist","no","no","yes",7,6,2,NA,1,4,0,6,0,120
603,"male",56,1962,"White","no","White",13,3,1,64.5,48,8,1,"fundamentalist","no","no","yes",7,6,1,70.89,4,4,0,4,190,120
604,"male",20,1998,"White","yes","Latinx",12,0,4,28.3,40,5,6,"liberal","yes",NA,"yes",4,4,2,NA,1,1,6,2,10,80
605,"female",64,1954,"White","no","White",16,0,4,64.2,53,0,2,"moderate","no","yes","no",2,4,3,NA,1,2,0,4,260,120
606,"male",40,1978,"other","no","Other",12,2,4,25.2,28,0,2,"moderate","no",NA,"yes",4,6,1,NA,1,1,5,8,30,120
607,"female",64,1954,"other","yes","Latinx",9,4,1,18.6,37,7,1,"moderate","no","no","no",4,3,2,NA,1,0,0,1,0,120
608,"female",39,1979,"White","yes","Latinx",14,3,1,32,35,5,1,"fundamentalist","no",NA,"yes",2,4,2,NA,1,5,10,0,120,120
609,"female",42,1976,"White","yes","Latinx",9,3,1,32.6,50,7,1,"fundamentalist","no","no","no",7,6,NA,78.15,2,3,1,NA,0,60
610,"male",22,1996,"other","yes","Latinx",11,0,4,14,27,3,2,"moderate","yes",NA,"yes",5,1,2,NA,1,0,8,1,40,100
611,"male",51,1967,"other","yes","Latinx",5,6,1,19.2,35,7,2,"moderate","no",NA,"yes",7,6,3,NA,1,2,8,1,0,100
612,"female",40,1978,"other","yes","Latinx",9,5,3,25.2,28,4,1,"fundamentalist","no","no","no",4,4,NA,90.21,1,8,2,NA,0,120
613,"male",40,1978,"other","yes","Latinx",10,2,3,38.8,45,4,1,"fundamentalist","yes",NA,"yes",4,4,3,NA,1,0,4,2,190,120
614,"female",24,1994,"White","yes","Latinx",15,1,1,48.51,44,4,2,"moderate","no","no","yes",4,5,3,NA,1,5,0,4,0,120
615,"female",27,1991,"White","yes","Latinx",9,3,4,14.6,24,0,2,"moderate","no","no","no",4,2,2,NA,1,6,0,4,0,50
616,"female",34,1984,"other","yes","Latinx",7,2,1,21.8,35,8,2,"moderate","no","no","no",2,7,NA,69.34,4,8,3,NA,0,110
617,"female",24,1994,"other","no","Other",14,0,4,35.94,39,0,6,"liberal","no","no","yes",4,4,NA,86.84,1,1,5,NA,0,80
618,"female",34,1984,"other","yes","Latinx",12,2,1,47.16,46,0,6,"liberal","no","no","yes",5,2,4,NA,1,7,0,3,0,40
619,"female",44,1974,"other","no","Other",16,2,1,80.9,61,0,4,"none","no","no","yes",3,4,NA,67.23,1,4,3,NA,0,100
620,"female",80,1938,"White","no","White",12,4,2,32.6,37,7,2,"moderate","no","no","no",7,4,2,81.06,4,1,0,6,0,120
621,"female",61,1957,"White","no","White",16,2,1,38.8,47,3,2,"moderate","no","no","yes",6,6,1,NA,1,2,0,5,0,110
622,"female",39,1979,"AfricanAmerican","no","AfricanAmerican",12,3,3,39.7,31,4,1,"fundamentalist","no",NA,"yes",3,3,1,NA,1,2,7,7,110,120
623,"female",41,1977,"White","no","White",20,1,4,78.3,51,5,6,"liberal","no","no","yes",3,5,2,75.79,3,0,0,0,210,120
624,"male",34,1984,"other","yes","Latinx",14,2,1,38.8,45,8,1,"moderate","no",NA,"no",3,4,2,NA,1,1,0,1,200,120
625,"female",70,1948,"White","no","White",19,3,1,80.9,61,7,1,"moderate","no",NA,"yes",5,6,2,NA,1,4,9,1,0,110
626,"female",49,1969,"White","no","White",15,3,3,79.9,62,1,6,"liberal","no","yes","yes",3,4,NA,81.21,3,4,8,NA,220,120
627,"female",59,1959,"other","no","Other",19,1,1,27,38,7,1,"liberal","no","no","no",6,6,2,NA,1,9,0,1,80,110
628,"female",31,1987,"AfricanAmerican","no","AfricanAmerican",20,1,4,91.1,69,0,6,"liberal","no","yes","no",3,4,NA,75.48,2,0,12,NA,170,120
629,"male",77,1941,"White","no","White",16,1,3,60.5,61,7,1,"liberal","no",NA,"no",7,5,2,NA,1,4,12,5,0,120
630,"female",40,1978,"White","no","White",17,3,3,21.8,35,4,3,"liberal","no",NA,"no",4,4,3,NA,1,0,0,0,100,110
631,"female",53,1965,"AfricanAmerican","no","AfricanAmerican",16,1,1,59.8,45,7,6,"none","no","no","no",4,4,NA,62,3,0,7,NA,110,110
632,"female",29,1989,"AfricanAmerican","no","AfricanAmerican",12,3,4,39.7,31,2,1,"fundamentalist","no","no","no",2,4,NA,91.95,2,2,0,9,120,100
633,"female",39,1979,"AfricanAmerican","no","AfricanAmerican",15,1,4,52,46,5,1,"moderate","yes","yes","yes",1,1,NA,77.73,1,10,9,NA,170,120
634,"female",27,1991,"AfricanAmerican","no","AfricanAmerican",15,1,4,63.7,33,0,6,"liberal","no","yes","yes",2,4,1,NA,1,1,0,1,170,120
635,"male",62,1956,"AfricanAmerican","no","AfricanAmerican",18,3,3,84.5,74,4,1,"liberal","no",NA,"no",1,4,2,NA,1,2,6,2,210,120
636,"female",48,1970,"AfricanAmerican","no","AfricanAmerican",12,4,3,13.6,33,5,1,"fundamentalist","no","no","yes",3,3,NA,73.31,1,1,0,NA,90,90
637,"female",28,1990,"other","yes","Latinx",12,1,1,31.3,26,0,2,"moderate","no","yes","yes",3,4,2,80.89,1,3,0,1,150,120
638,"male",47,1971,"AfricanAmerican","no","AfricanAmerican",12,6,1,20.9,35,2,1,"fundamentalist","yes",NA,"no",3,2,2,NA,1,2,9,5,100,90
639,"female",42,1976,"AfricanAmerican","no","AfricanAmerican",13,1,4,38.3,50,0,1,"fundamentalist","no","yes","no",1,6,1,NA,1,4,0,5,170,120
640,"female",38,1980,"White","no","White",12,3,1,38.8,47,0,1,"fundamentalist","no","yes","yes",6,6,2,77.28,2,1,0,0,30,120
641,"male",53,1965,"White","no","White",16,1,1,84.5,74,2,6,"liberal","yes",NA,"yes",4,4,2,NA,1,1,12,2,180,120
642,"male",40,1978,"AfricanAmerican","no","AfricanAmerican",14,4,3,26.8,35,0,6,"liberal","yes","yes","yes",3,2,NA,72.02,2,3,6,NA,200,120
643,"male",57,1961,"White","no","White",15,2,1,52.4,43,3,6,"liberal","no","no","yes",7,6,2,80.07,3,4,0,1,240,130
644,"male",51,1967,"White","no","White",11,1,1,55.1,54,6,1,"moderate","yes",NA,"no",4,3,4,NA,1,0,12,1,80,120
645,"female",60,1958,"White","no","White",14,2,3,92.8,80,7,6,"liberal","yes","yes","yes",4,1,NA,69.93,5,2,7,NA,0,90
646,"female",55,1963,"White","no","White",18,0,3,46.6,69,7,1,"liberal","no","yes","yes",6,6,3,NA,1,4,0,0,230,120
647,"female",40,1978,"White","no","White",14,3,1,17.5,22,4,1,"fundamentalist","yes",NA,"yes",7,6,1,NA,1,3,6,2,260,120
648,"male",25,1993,"White","yes","Latinx",11,2,1,25.2,28,7,6,"liberal","no","no","no",4,4,3,90.79,2,8,0,1,0,100
649,"female",19,1999,"other","yes","Latinx",6,0,4,20.7,24,5,2,"moderate","no","no","no",3,4,3,NA,1,2,0,3,90,100
650,"male",46,1972,"other","yes","Latinx",3,0,4,39.9,46,0,2,"moderate","no",NA,"yes",3,3,3,NA,1,0,5,3,130,110
651,"female",60,1958,"AfricanAmerican","no","AfricanAmerican",9,5,3,19.7,45,3,1,"fundamentalist","no","yes","no",6,6,1,49.5,1,1,0,6,0,90
652,"female",22,1996,"other","no","Other",12,2,4,25.7,38,5,1,"fundamentalist","no",NA,"yes",4,4,1,NA,1,0,5,1,40,40
653,"female",29,1989,"AfricanAmerican","no","AfricanAmerican",19,0,4,73.6,67,0,6,"liberal","no",NA,"yes",2,2,3,NA,1,0,8,1,190,120
654,"male",28,1990,"AfricanAmerican","no","AfricanAmerican",16,0,4,29.5,29,0,6,"liberal","no","yes","no",3,1,NA,69.06,3,1,12,NA,160,120
655,"female",36,1982,"AfricanAmerican","no","AfricanAmerican",12,2,4,12.6,25,0,1,"moderate","no","yes","no",1,6,1,NA,1,6,0,4,100,90
656,"female",29,1989,"White","no","White",16,2,1,26.1,48,4,3,"liberal","yes","yes","yes",4,4,NA,76.04,2,0,12,NA,160,120
657,"male",40,1978,"AfricanAmerican","no","AfricanAmerican",12,2,1,25.1,35,2,1,"moderate","no","yes","no",2,3,2,77.89,3,0,0,5,180,120
658,"male",47,1971,"White","no","White",14,0,1,62,45,1,6,"liberal","no","yes","no",4,4,NA,91.63,2,2,12,NA,200,120
660,"male",51,1967,"AfricanAmerican","no","AfricanAmerican",14,2,3,32.6,50,5,1,"liberal","no",NA,"yes",1,3,1,NA,1,0,10,3,160,120
661,"male",63,1955,"White","no","White",13,0,4,61.9,51,3,1,"fundamentalist","no","yes","no",3,3,NA,59.97,1,5,12,NA,0,100
662,"male",33,1985,"AfricanAmerican","no","AfricanAmerican",13,0,4,67.7,39,0,6,"liberal","no",NA,"no",3,4,2,NA,1,0,12,1,0,120
663,"female",47,1971,"AfricanAmerican","yes","Latinx",12,2,1,53.8,57,4,2,"moderate","no","no","no",4,4,NA,67.81,2,1,6,NA,170,120
664,"female",26,1992,"other","yes","Latinx",15,1,1,37.6,31,7,1,"moderate","yes",NA,"yes",5,5,3,NA,1,0,2,1,140,120
665,"male",68,1950,"AfricanAmerican","no","AfricanAmerican",16,2,1,62.6,66,8,1,"liberal","yes",NA,"yes",1,2,2,NA,1,1,7,1,170,120
666,"female",36,1982,"AfricanAmerican","no","AfricanAmerican",16,1,1,73.9,53,7,1,"moderate","yes","no","yes",6,4,NA,72.07,4,0,3,NA,0,120
667,"male",34,1984,"White","no","White",14,0,4,65.1,59,2,1,"fundamentalist","no","no","yes",5,4,2,75.96,3,7,0,3,180,120
668,"female",30,1988,"AfricanAmerican","no","AfricanAmerican",17,0,4,80.9,61,4,1,"fundamentalist","yes","yes","no",2,4,NA,69.96,3,0,7,NA,70,110
669,"female",71,1947,"White","no","White",13,2,1,30.9,24,0,6,"liberal","no","yes","no",1,3,2,NA,1,1,0,2,0,120
670,"female",28,1990,"White","no","White",12,0,4,23.3,25,7,3,"liberal","no","no","yes",7,6,NA,80.64,4,6,2,NA,0,120
671,"male",65,1953,"AfricanAmerican","no","AfricanAmerican",16,2,1,38.1,39,8,1,"fundamentalist","no","yes","no",1,2,2,89.86,3,3,0,2,100,120
672,"male",49,1969,"White","no","White",12,4,1,59.1,53,7,1,"moderate","yes","yes","yes",4,7,NA,87.24,3,2,10,NA,260,130
673,"male",32,1986,"White","no","White",12,1,3,32,35,1,6,"liberal","no","yes","no",4,4,3,NA,1,0,0,0,130,110
674,"female",21,1997,"White","no","White",15,0,4,19.6,31,0,6,"liberal","no",NA,"yes",2,2,1,NA,1,0,8,2,40,40
675,"female",38,1980,"White","no","White",14,2,1,25.7,38,7,1,"moderate","yes",NA,"yes",7,6,1,NA,1,1,11,2,100,120
676,"male",22,1996,"White","no","White",14,0,4,33.4,40,0,5,"none","yes","yes","yes",4,4,NA,60.11,1,3,11,NA,140,120
677,"male",50,1968,"AfricanAmerican","no","AfricanAmerican",14,3,3,49.4,40,3,1,"fundamentalist","yes",NA,"no",2,3,2,NA,1,0,12,3,170,120
678,"male",86,1932,"AfricanAmerican","no","AfricanAmerican",13,4,1,52.5,44,5,1,"moderate","no","no","no",1,5,2,NA,1,1,0,3,0,90
679,"female",59,1959,"other","no","Other",12,4,1,84.2,64,8,1,"fundamentalist","no","no","yes",4,4,1,69.8,3,1,0,1,130,120
680,"female",28,1990,"AfricanAmerican","no","AfricanAmerican",15,0,3,35.61,39,0,6,"liberal","no",NA,"no",4,4,1,NA,1,0,11,0,0,120
681,"male",54,1964,"AfricanAmerican","no","AfricanAmerican",15,2,1,27,38,8,1,"moderate","no","yes","no",1,4,NA,79.09,3,3,6,NA,200,120
682,"female",71,1947,"AfricanAmerican","no","AfricanAmerican",15,0,1,59.1,38,7,1,"fundamentalist","no","no","yes",1,4,1,NA,1,3,0,5,170,120
683,"female",58,1960,"AfricanAmerican","no","AfricanAmerican",16,2,1,59.1,38,3,6,"liberal","yes",NA,"yes",5,4,3,NA,1,1,9,7,180,120
684,"female",88,1930,"White","yes","Latinx",3,2,2,47.44,45,7,1,"fundamentalist","no","no","no",4,4,2,81.98,1,3,0,2,0,110
685,"male",34,1984,"White","no","White",12,2,1,38.8,45,2,2,"moderate","yes","no","yes",5,4,NA,71.89,1,5,2,NA,210,120
686,"female",52,1966,"White","no","White",12,4,4,39.7,31,2,6,"liberal","yes","yes","yes",4,6,NA,66.81,3,6,12,NA,110,100
687,"female",71,1947,"White","yes","Latinx",12,2,1,13.2,32,5,2,"moderate","no",NA,"yes",4,4,4,NA,1,0,2,1,0,110
688,"female",21,1997,"other","no","Other",11,1,1,21.6,28,3,1,"moderate","no",NA,"yes",3,4,3,NA,1,0,5,4,90,110
689,"male",23,1995,"AfricanAmerican","no","AfricanAmerican",12,2,4,23.3,25,0,6,"liberal","no","yes","no",4,4,NA,93.24,1,1,10,NA,0,80
690,"male",82,1936,"AfricanAmerican","no","AfricanAmerican",12,0,2,13.6,33,0,1,"fundamentalist","yes",NA,"yes",1,1,1,NA,1,2,0,6,0,20
691,"male",34,1984,"AfricanAmerican","no","AfricanAmerican",12,3,1,23.3,25,2,1,"moderate","no","yes","yes",2,4,NA,70.61,1,1,10,NA,180,120
692,"female",32,1986,"AfricanAmerican","no","AfricanAmerican",14,3,3,37.6,31,1,1,"fundamentalist","no","yes","yes",2,4,1,NA,1,0,0,2,120,110
693,"female",43,1975,"AfricanAmerican","no","AfricanAmerican",15,0,3,44.6,36,7,1,"fundamentalist","no",NA,"yes",2,4,2,NA,1,1,2,2,180,120
694,"female",75,1943,"AfricanAmerican","no","AfricanAmerican",12,2,2,38.37,41,5,1,"fundamentalist","no",NA,"no",1,4,2,NA,1,1,10,1,0,120
695,"male",46,1972,"White","yes","Latinx",12,1,1,23.8,25,0,2,"moderate","no","no","yes",5,5,3,NA,1,2,0,2,160,120
696,"male",33,1985,"other","yes","Latinx",12,0,4,32,35,0,5,"none","no",NA,"yes",4,6,1,NA,1,5,3,1,150,120
697,"female",79,1939,"other","yes","Latinx",4,4,3,13.6,21,7,2,"moderate","no","no","yes",5,6,1,83.68,3,8,0,2,0,90
698,"female",50,1968,"White","yes","Latinx",12,2,3,23.3,25,4,1,"fundamentalist","no","no","no",4,7,NA,70.81,1,8,2,NA,70,110
699,"female",40,1978,"White","yes","Latinx",16,4,3,76.3,60,7,1,"moderate","no","no","no",4,4,NA,90.59,1,1,10,NA,0,120
700,"female",89,1929,"AfricanAmerican","no","AfricanAmerican",4,6,2,24.2,48,3,1,"fundamentalist","no","no","yes",1,4,NA,80.33,1,6,4,NA,0,30
701,"male",65,1953,"other","yes","Latinx",13,3,1,58.2,38,7,2,"moderate","no","no","no",4,6,2,NA,1,8,0,6,190,120
702,"female",69,1949,"AfricanAmerican","no","AfricanAmerican",13,2,3,58.2,38,6,2,"moderate","no","no","yes",1,5,NA,90.69,1,1,9,NA,0,120
703,"male",73,1945,"AfricanAmerican","no","AfricanAmerican",12,3,3,52.5,44,7,1,"fundamentalist","no","no","yes",1,5,2,94.03,2,3,0,4,0,120
704,"female",53,1965,"White","yes","Latinx",9,2,4,12.6,25,0,6,"liberal","no",NA,"yes",2,2,4,NA,1,1,3,2,90,100
705,"female",46,1972,"White","yes","Latinx",14,1,1,39.6,42,3,1,"fundamentalist","yes","no","no",6,6,NA,81.22,1,3,2,NA,0,120
706,"female",56,1962,"White","yes","Latinx",12,1,3,73.9,53,2,2,"moderate","no",NA,"no",3,4,3,NA,1,0,10,2,210,120
707,"male",71,1947,"White","no","White",12,5,1,56.9,49,8,3,"liberal","no","no","yes",7,6,3,91.32,3,1,0,4,250,120
708,"male",33,1985,"White","no","White",12,0,4,33.2,37,3,1,"fundamentalist","no",NA,"yes",4,4,3,NA,1,4,6,2,210,120
709,"female",68,1950,"White","yes","Latinx",15,1,3,60.3,52,5,3,"liberal","no","no","no",1,2,3,69.77,3,2,0,3,0,100
710,"female",89,1929,"White","no","White",12,4,2,56.9,49,3,3,"liberal","no",NA,"yes",4,4,2,NA,1,2,7,4,0,120
711,"male",19,1999,"White","yes","Latinx",9,0,4,20.7,24,3,1,"fundamentalist","no",NA,"no",4,4,2,NA,1,2,9,0,0,90
712,"male",26,1992,"AfricanAmerican","no","AfricanAmerican",16,0,4,63.7,51,5,1,"fundamentalist","no","yes","yes",3,6,NA,40.24,3,4,12,NA,40,100
713,"female",28,1990,"White","yes","Latinx",18,0,3,28.6,49,1,1,"moderate","no",NA,"no",6,4,4,NA,1,5,11,1,170,120
714,"male",70,1948,"White","yes","Latinx",12,2,3,38.8,45,0,6,"liberal","no","yes","yes",1,4,NA,59.69,1,3,9,NA,0,70
715,"female",38,1980,"AfricanAmerican","no","AfricanAmerican",11,1,1,24.2,48,7,1,"fundamentalist","no","yes","no",1,1,NA,90.22,1,3,3,NA,130,120
