lfp,kids5,kids618,wage,wcoll,hcoll,faminc,wifewage
0,0,3,54,1,1,35.40,3.99
1,0,2,45,1,1,35.76,6.99
0,0,4,41,0,1,35.91,2.30
0,2,2,35,1,1,36.00,2.80
0,0,2,38,1,1,37.25,4.36
1,0,0,35,1,1,37.30,9.58
0,0,2,45,0,1,37.30,3.29
0,1,1,37,0,1,37.60,3.08
0,0,0,58,0,0,37.70,1.36
0,0,2,36,0,0,37.75,2.52
1,0,2,51,0,0,38.00,3.79
1,0,0,51,1,1,38.40,5.56
1,0,1,49,1,1,39.10,1.74
1,0,0,52,1,1,39.14,9.60
1,0,3,32,0,1,39.21,1.00
1,0,1,53,1,1,40.00,1.13
0,2,1,33,1,1,40.25,2.86
0,0,1,44,0,0,40.50,2.65
0,0,2,50,0,0,40.80,2.47
1,0,0,50,1,1,41.10,0.65
1,0,1,47,1,1,41.40,4.10
0,0,0,53,1,1,41.50,2.89
0,1,1,30,0,1,42.25,2.48
0,0,1,45,0,0,42.80,2.39
1,0,5,52,0,1,42.91,2.00
1,0,3,46,0,0,43.00,5.81
1,1,3,33,0,1,43.00,2.50
1,0,2,32,1,1,43.30,8.61
1,0,1,49,0,0,44.00,3.00
1,0,0,46,1,1,44.00,4.56
0,1,3,51,0,0,44.99,1.23
0,1,2,31,1,1,45.25,3.50
1,0,1,46,1,1,45.75,5.25
1,0,0,47,1,1,46.00,3.96
1,0,0,47,0,1,46.65,3.33
0,1,3,32,0,1,47.50,2.57
0,0,3,36,1,1,48.30,4.19
0,1,1,32,1,1,50.30,3.16
0,0,2,41,1,1,51.00,3.51
0,3,0,31,1,1,51.20,3.65
1,0,1,44,1,1,51.30,15.38
1,0,1,45,1,0,52.50,4.02
1,0,0,49,0,1,53.50,4.90
0,0,0,60,1,1,55.60,3.48
0,0,0,47,1,1,56.10,3.50
0,0,0,57,1,1,57.00,4.56
1,0,1,48,0,0,59.00,3.83
0,0,0,50,1,1,63.20,5.65
0,0,1,41,0,1,63.50,3.07
0,0,2,52,0,0,68.04,1.44
1,0,1,48,1,1,70.75,5.23
0,3,1,31,1,1,73.60,2.61
0,0,3,41,0,1,77.00,2.91
1,0,0,41,1,1,79.80,7.02
0,0,2,45,0,0,88.00,2.91
1,1,3,38,1,1,91.00,3.67
0,1,2,34,1,1,96.00,3.90
